asn,conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
132013,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
132063,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
132479,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
132545,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
132605,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133063,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133113,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133167,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133376,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133529,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
